2010,mm,dd,HH,SEK/kWh,C,COP
415,1,18,7,0.88,-1.6,4.507199999999999
416,1,18,8,0.95,-1.5,4.513
417,1,18,9,0.97,-1.4,4.5188
418,1,18,10,0.94,-1.4,4.5188
419,1,18,11,0.92,-1.3,4.5245999999999995
420,1,18,12,0.93,-1.4,4.5188
421,1,18,13,0.92,-1.6,4.507199999999999
422,1,18,14,0.9,-1.7,4.501399999999999
423,1,18,15,0.89,-1.7,4.501399999999999
424,1,18,16,0.89,-1.7,4.501399999999999
425,1,18,17,0.92,-1.8,4.4956
426,1,18,18,0.97,-1.8,4.4956
427,1,18,19,0.93,-1.9,4.4898
428,1,18,20,0.89,-1.7,4.501399999999999
429,1,18,21,0.86,-1.5,4.513
430,1,18,22,0.86,-1.3,4.5245999999999995
431,1,18,23,0.85,-1.1,4.5362
432,1,18,24,0.83,-0.9,4.5478
433,1,19,1,0.83,-0.8,4.553599999999999
434,1,19,2,0.82,-0.9,4.5478
435,1,19,3,0.82,-0.9,4.5478
436,1,19,4,0.82,-0.9,4.5478
437,1,19,5,0.83,-0.8,4.553599999999999
438,1,19,6,1.06,-0.8,4.553599999999999
439,1,19,7,1.09,-0.7,4.559399999999999
440,1,19,8,1.12,-0.7,4.559399999999999
441,1,19,9,1.14,-0.7,4.559399999999999
442,1,19,10,1.12,-0.5,4.571
443,1,19,11,1.12,-0.4,4.5767999999999995
444,1,19,12,1.13,-0.1,4.5942
445,1,19,13,1.13,-0.2,4.5884
446,1,19,14,1.12,-0.3,4.582599999999999
447,1,19,15,1.11,-0.5,4.571
448,1,19,16,1.12,-0.7,4.559399999999999
449,1,19,17,1.16,-1.1,4.5362
450,1,19,18,1.19,-1.4,4.5188
451,1,19,19,1.21,-1.7,4.501399999999999
452,1,19,20,1.12,-1.9,4.4898
453,1,19,21,1.09,-2.2,4.4723999999999995
454,1,19,22,1.07,-2.3,4.4666
455,1,19,23,0.86,-2.5,4.455
456,1,19,24,0.83,-2.5,4.455
457,1,20,1,0.83,-2.4,4.4608
458,1,20,2,0.82,-2.5,4.455
459,1,20,3,0.82,-2.6,4.449199999999999
460,1,20,4,0.82,-2.6,4.449199999999999
461,1,20,5,0.83,-2.6,4.449199999999999
462,1,20,6,1.06,-2.7,4.4434
463,1,20,7,1.07,-3.3,4.4086
464,1,20,8,1.11,-3.6,4.3911999999999995
465,1,20,9,1.12,-3.6,4.3911999999999995
466,1,20,10,1.11,-3.2,4.4144
467,1,20,11,1.11,-2.8,4.4376
468,1,20,12,1.11,-2.2,4.4723999999999995
469,1,20,13,1.1,-2.2,4.4723999999999995
470,1,20,14,1.09,-2.7,4.4434
471,1,20,15,1.09,-2.7,4.4434
472,1,20,16,1.1,-2.8,4.4376
473,1,20,17,1.11,-3.2,4.4144
474,1,20,18,1.12,-3.2,4.4144
475,1,20,19,1.11,-3.1,4.4201999999999995
476,1,20,20,1.09,-2.9,4.4318
477,1,20,21,1.08,-2.6,4.449199999999999
478,1,20,22,1.08,-2.5,4.455
479,1,20,23,0.85,-2.7,4.4434
480,1,20,24,0.83,-2.7,4.4434
481,1,21,1,0.84,-2.8,4.4376
482,1,21,2,0.84,-3.3,4.4086
483,1,21,3,0.83,-3.5,4.396999999999999
484,1,21,4,0.83,-3.5,4.396999999999999
485,1,21,5,0.84,-3.8,4.3796
486,1,21,6,1.07,-3.8,4.3796
487,1,21,7,1.09,-4.2,4.3564
488,1,21,8,1.19,-5.2,4.2984
489,1,21,9,1.22,-5.4,4.2867999999999995
490,1,21,10,1.15,-4.7,4.3274
491,1,21,11,1.14,-3.3,4.4086
492,1,21,12,1.14,-2.8,4.4376
493,1,21,13,1.12,-2.9,4.4318
494,1,21,14,1.11,-2.7,4.4434
495,1,21,15,1.11,-2.9,4.4318
496,1,21,16,1.11,-3.1,4.4201999999999995
497,1,21,17,1.15,-3.2,4.4144
498,1,21,18,1.2,-3.3,4.4086
499,1,21,19,1.21,-3.5,4.396999999999999
500,1,21,20,1.14,-3.6,4.3911999999999995
501,1,21,21,1.09,-3.6,4.3911999999999995
502,1,21,22,1.09,-3.6,4.3911999999999995
503,1,21,23,0.87,-3.8,4.3796
504,1,21,24,0.85,-4.0,4.367999999999999
505,1,22,1,0.85,-4.1,4.3622
506,1,22,2,0.84,-4.1,4.3622
507,1,22,3,0.84,-4.2,4.3564
508,1,22,4,0.84,-4.5,4.3389999999999995
509,1,22,5,0.85,-4.5,4.3389999999999995
510,1,22,6,1.08,-4.6,4.3332
511,1,22,7,1.09,-4.5,4.3389999999999995
512,1,22,8,1.24,-4.4,4.344799999999999
513,1,22,9,1.22,-4.3,4.3506
514,1,22,10,1.18,-4.0,4.367999999999999
515,1,22,11,1.15,-3.4,4.4028
516,1,22,12,1.16,-3.1,4.4201999999999995
517,1,22,13,1.12,-3.0,4.425999999999999
518,1,22,14,1.11,-3.0,4.425999999999999
519,1,22,15,1.1,-3.1,4.4201999999999995
520,1,22,16,1.1,-3.2,4.4144
521,1,22,17,1.14,-3.3,4.4086
522,1,22,18,1.23,-3.5,4.396999999999999
523,1,22,19,1.13,-3.5,4.396999999999999
524,1,22,20,1.09,-3.7,4.3854
