Månad,Dag,Timme,Årstimme,Meteonorm Lkp Utetemp (grad C),Meteonorm Lkp Utetemp heltal (grad C),SMHI Lkp 2015 Utetemp (grad C),SMHI Lkp 2015 Utetemp heltal (grad C),SMHI Lkp 2013 Utetemp (grad C),SMHI Lkp 2013 Utetemp heltal (grad C),SMHI Lkp 2010 Utetemp (grad C),SMHI Lkp 2010 Utetemp heltal (grad C)
6,23,5,4157,15, 15    , 10.40    , 10    ,15,15, 9.40    , 9    
6,23,6,4158,15.3, 15    , 10.80    , 11    ,16.1,16, 11.80    , 12    
6,23,7,4159,16, 16    , 12.00    , 12    ,16.4,16, 12.50    , 13    
6,23,8,4160,16.8, 17    , 12.90    , 13    ,17.7,18, 13.60    , 14    
6,23,9,4161,17.5, 18    , 14.20    , 14    ,18.2,18, 15.00    , 15    
6,23,10,4162,17.9, 18    , 14.20    , 14    ,18.9,19, 16.60    , 17    
6,23,11,4163,18.4, 18    , 14.40    , 14    ,20,20, 17.60    , 18    
6,23,12,4164,18.8, 19    , 14.90    , 15    ,21.6,22, 19.10    , 19    
6,23,13,4165,19, 19    , 15.50    , 16    ,18.3,18, 21.60    , 22    
6,23,14,4166,19.1, 19    , 15.70    , 16    ,18.1,18, 19.80    , 20    
6,23,15,4167,19.2, 19    , 16.30    , 16    ,19.4,19, 21.00    , 21    
6,23,16,4168,19.3, 19    , 14.80    , 15    ,19.1,19, 20.60    , 21    
6,23,17,4169,18.9, 19    , 13.10    , 13    ,19.4,19,, 21    
6,23,18,4170,19.3, 19    , 14.20    , 14    ,18,18, 19.90    , 20    
6,23,19,4171,19.4, 19    , 14.90    , 15    ,18,18, 18.80    , 19    
6,23,20,4172,19, 19    , 14.20    , 14    ,17.4,17, 17.40    , 17    
6,23,21,4173,18.5, 19    , 13.10    , 13    ,14.9,15, 17.40    , 17    
6,23,22,4174,17.3, 17    , 12.60    , 13    ,13.4,13, 13.80    , 14    
6,23,23,4175,16.1, 16    , 12.10    , 12    ,13.2,13, 12.70    , 13    
6,23,24,4176,15, 15    , 10.80    , 11    ,13.5,14, 11.00    , 11    
6,24,1,4177,14.2, 14    , 11.60    , 12    ,12.6,13, 10.20    , 10    
6,24,2,4178,13.5, 14    , 10.30    , 10    ,11.8,12, 9.30    , 9    
6,24,3,4179,12.7, 13    , 9.90    , 10    ,11.8,12, 8.80    , 9    
6,24,4,4180,12.9, 13    , 10.20    , 10    ,11.1,11, 8.40    , 8    
6,24,5,4181,13.6, 14    , 11.20    , 11    ,11.8,12, 9.90    , 10    
6,24,6,4182,13.8, 14    , 13.50    , 14    ,13.9,14, 12.70    , 13    
6,24,7,4183,13.8, 14    , 14.60    , 15    ,16.4,16, 15.10    , 15    
6,24,8,4184,13.8, 14    , 13.80    , 14    ,17.2,17, 17.30    , 17    
6,24,9,4185,13.9, 14    , 14.30    , 14    ,18.1,18, 19.10    , 19    
6,24,10,4186,14.8, 15    , 13.40    , 13    ,18.4,18, 20.50    , 21    
6,24,11,4187,16.1, 16    , 13.90    , 14    ,20.4,20, 21.70    , 22    
6,24,12,4188,18, 18    , 15.20    , 15    ,20.3,20, 22.00    , 22    
6,24,13,4189,18.4, 18    , 16.00    , 16    ,21.1,21, 22.50    , 23    
6,24,14,4190,19.4, 19    , 16.20    , 16    ,21.8,22, 22.50    , 23    
6,24,15,4191,20.1, 20    , 15.80    , 16    ,20.8,21, 22.70    , 23    
6,24,16,4192,21.1, 21    , 15.20    , 15    ,20.8,21, 22.70    , 23    
6,24,17,4193,21.2, 21    , 14.40    , 14    ,20.8,21, 21.60    , 22    
6,24,18,4194,20.8, 21    , 14.10    , 14    ,19.9,20, 22.30    , 22    
