Månad,Dag,Timme,Årstimme,Meteonorm Lkp Utetemp (grad C),Meteonorm Lkp Utetemp heltal (grad C),SMHI Lkp 2015 Utetemp (grad C),SMHI Lkp 2015 Utetemp heltal (grad C),SMHI Lkp 2013 Utetemp (grad C),SMHI Lkp 2013 Utetemp heltal (grad C),SMHI Lkp 2010 Utetemp (grad C),SMHI Lkp 2010 Utetemp heltal (grad C)
2,3,12,804,1.1, 1    ,-5.60    ,-6    ,-1.5,-2,-0.40    , -      
2,3,13,805,1.4, 1    ,-5.60    ,-6    ,-0.6,-1,-0.20    , -      
2,3,14,806,1.7, 2    ,-5.50    ,-6    ,0.2,0, 0.20    , -      
2,3,15,807,1.7, 2    ,-5.60    ,-6    ,0.6,1,-0.50    ,-1    
2,3,16,808,1.2, 1    ,-5.70    ,-6    ,-0.2,0,-0.30    , -      
2,3,17,809,0.7, 1    ,-5.80    ,-6    ,-0.6,-1,-0.70    ,-1    
2,3,18,810,0.2, -      ,-5.90    ,-6    ,-1.5,-2,-0.80    ,-1    
2,3,19,811,-0.4, -      ,-6.00    ,-6    ,-0.5,-1,-0.60    ,-1    
2,3,20,812,-0.9,-1    ,-6.10    ,-6    ,-2.3,-2,-0.80    ,-1    
2,3,21,813,-1.4,-1    ,-6.30    ,-6    ,-2.6,-3,-0.90    ,-1    
2,3,22,814,-1.9,-2    ,-6.30    ,-6    ,-2.3,-2,-0.90    ,-1    
2,3,23,815,-2.5,-3    ,-6.30    ,-6    ,-3.1,-3,-1.00    ,-1    
2,3,24,816,-3,-3    ,-6.30    ,-6    ,-2.4,-2,-1.10    ,-1    
2,4,1,817,-3.8,-4    ,-6.20    ,-6    ,-1.8,-2,-1.20    ,-1    
2,4,2,818,-4.7,-5    ,-6.10    ,-6    ,-1.9,-2,-1.20    ,-1    
2,4,3,819,-5.6,-6    ,-6.10    ,-6    ,-2,-2,-1.30    ,-1    
2,4,4,820,-6.1,-6    ,-6.00    ,-6    ,-1.8,-2,-1.50    ,-2    
2,4,5,821,-6.6,-7    ,-5.80    ,-6    ,-1.6,-2,-2.80    ,-3    
2,4,6,822,-7.2,-7    ,-5.60    ,-6    ,-1.6,-2,-2.70    ,-3    
2,4,7,823,-7.6,-8    ,-5.40    ,-5    ,-1.5,-2,-3.10    ,-3    
2,4,8,824,-8,-8    ,-5.20    ,-5    ,-1.1,-1,-3.00    ,-3    
2,4,9,825,-8.1,-8    ,-5.10    ,-5    ,-0.9,-1,-2.90    ,-3    
2,4,10,826,-7.9,-8    ,-4.90    ,-5    ,-0.4,0,-2.50    ,-3    
2,4,11,827,-7.7,-8    ,-4.60    ,-5    ,-0.2,0,-2.10    ,-2    
2,4,12,828,-7.7,-8    ,-4.20    ,-4    ,0.7,1,-2.10    ,-2    
2,4,13,829,-7.6,-8    ,-3.70    ,-4    ,0.8,1,-1.40    ,-1    
2,4,14,830,-7.7,-8    ,-3.30    ,-3    ,0.5,1,-0.50    ,-1    
2,4,15,831,-7.9,-8    ,-3.30    ,-3    ,0.2,0,-0.80    ,-1    
2,4,16,832,-8.2,-8    ,-3.50    ,-4    ,0.1,0,-0.80    ,-1    
2,4,17,833,-8.5,-9    ,-3.60    ,-4    ,0.3,0,-1.00    ,-1    
2,4,18,834,-8.3,-8    ,-3.70    ,-4    ,0.9,1,-1.80    ,-2    
2,4,19,835,-8.1,-8    ,-3.80    ,-4    ,1.3,1,-2.00    ,-2    
2,4,20,836,-7.9,-8    ,-3.90    ,-4    ,1.1,1,-2.30    ,-2    
2,4,21,837,-7.7,-8    ,-4.10    ,-4    ,1.1,1,-2.50    ,-3    
2,4,22,838,-7.5,-8    ,-4.20    ,-4    ,0.7,1,-3.10    ,-3    
2,4,23,839,-7.3,-7    ,-4.40    ,-4    ,0.7,1,-4.90    ,-5    
2,4,24,840,-7,-7    ,-4.20    ,-4    ,1,1,-7.90    ,-8    
2,5,1,841,-6.6,-7    ,-4.30    ,-4    ,1.8,2,-10.70    ,-11    
2,5,2,842,-6.1,-6    ,-4.30    ,-4    ,1.8,2,-8.30    ,-8    
2,5,3,843,-5.5,-6    ,-4.30    ,-4    ,2,2,-9.50    ,-10    
2,5,4,844,-5.1,-5    ,-4.20    ,-4    ,2,2,-9.30    ,-9    
2,5,5,845,-5.2,-5    ,-4.00    ,-4    ,2.2,2,-11.00    ,-11    
2,5,6,846,-4.5,-5    ,-4.00    ,-4    ,2.1,2,-12.00    ,-12    
2,5,7,847,-4.1,-4    ,-4.10    ,-4    ,2.1,2,-12.60    ,-13    
2,5,8,848,-3.9,-4    ,-4.10    ,-4    ,1.9,2,-13.10    ,-13    
2,5,9,849,-3.5,-4    ,-3.90    ,-4    ,1.8,2,-9.40    ,-9    
2,5,10,850,-3.1,-3    ,-3.80    ,-4    ,1.9,2,-8.60    ,-9    
2,5,11,851,-2.7,-3    ,-3.70    ,-4    ,1.8,2,-5.90    ,-6    
2,5,12,852,-2.4,-2    ,-4.00    ,-4    ,2,2,-4.60    ,-5    
2,5,13,853,-2.1,-2    ,-3.80    ,-4    ,2.7,3,-4.10    ,-4    
2,5,14,854,0, -      ,-3.90    ,-4    ,2.5,3,-5.80    ,-6    
2,5,15,855,1, 1    ,-3.80    ,-4    ,2.4,2,-1.50    ,-2    
2,5,16,856,1.1, 1    ,-3.60    ,-4    ,1.6,2,-2.00    ,-2    
2,5,17,857,0.5, 1    ,-3.30    ,-3    ,0.9,1,-2.20    ,-2    
2,5,18,858,0.3, -      ,-3.30    ,-3    ,0.3,0,-2.60    ,-3    
2,5,19,859,0.2, -      ,-3.20    ,-3    ,0,0,-1.60    ,-2    
2,5,20,860,0, -      ,-2.90    ,-3    ,-0.5,-1,-1.70    ,-2    
2,5,21,861,-0.2, -      ,-3.30    ,-3    ,-0.8,-1,-2.00    ,-2    
2,5,22,862,-0.3, -      ,-3.60    ,-4    ,-1.1,-1,-1.70    ,-2    
2,5,23,863,-0.5,-1    ,-3.50    ,-4    ,-0.9,-1,-1.80    ,-2    
2,5,24,864,-0.6,-1    ,-3.30    ,-3    ,-1.6,-2,-2.10    ,-2    
2,6,1,865,-1.3,-1    ,-3.60    ,-4    ,-2.2,-2,-2.20    ,-2    
2,6,2,866,-2,-2    ,-3.40    ,-3    ,-1.9,-2,-2.60    ,-3    
2,6,3,867,-2.8,-3    ,-3.20    ,-3    ,-1.5,-2,-2.40    ,-2    
2,6,4,868,-3.2,-3    ,-2.70    ,-3    ,-1.1,-1,-2.50    ,-3    
2,6,5,869,-3.7,-4    ,-2.00    ,-2    ,-1.3,-1,-3.20    ,-3    
2,6,6,870,-4.1,-4    ,-1.40    ,-1    ,-2,-2,-3.00    ,-3    
2,6,7,871,-4.4,-4    ,-1.10    ,-1    ,-2.3,-2,-2.30    ,-2    
2,6,8,872,-4.8,-5    ,-0.80    ,-1    ,-2.3,-2,-2.30    ,-2    
2,6,9,873,-4.8,-5    ,-0.60    ,-1    ,-2.4,-2,-2.20    ,-2    
2,6,10,874,-4.7,-5    ,-0.40    , -      ,-2,-2,-2.10    ,-2    
2,6,11,875,-4.8,-5    ,-0.10    , -      ,-1.2,-1,-2.20    ,-2    
2,6,12,876,-4.8,-5    , 0.20    , -      ,-2,-2,-2.30    ,-2    
2,6,13,877,-5.2,-5    , 0.30    , -      ,-2.4,-2,-2.30    ,-2    
2,6,14,878,-4.5,-5    , 0.60    , 1    ,-2,-2,-2.40    ,-2    
2,6,15,879,-4.3,-4    , 0.60    , 1    ,-1.2,-1,-2.70    ,-3    
2,6,16,880,-4.4,-4    , 0.30    , -      ,-1.1,-1,-3.10    ,-3    
2,6,17,881,-4.7,-5    ,-0.10    , -      ,-1.2,-1,-3.00    ,-3    
2,6,18,882,-4.9,-5    ,-0.30    , -      ,-1,-1,-3.30    ,-3    
2,6,19,883,-5,-5    ,-0.80    ,-1    ,-0.9,-1,-3.40    ,-3    
2,6,20,884,-5.2,-5    ,-3.00    ,-3    ,-0.9,-1,-3.60    ,-4    
2,6,21,885,-5.3,-5    ,-2.30    ,-2    ,-1.1,-1,-3.40    ,-3    
2,6,22,886,-5.5,-6    ,-1.50    ,-2    ,-1.3,-1,-3.70    ,-4    
2,6,23,887,-5.6,-6    ,-2.20    ,-2    ,-1.3,-1,-3.60    ,-4    
2,6,24,888,-5.8,-6    ,-3.00    ,-3    ,-1.5,-2,-4.00    ,-4    
2,7,1,889,-5.5,-6    ,-3.40    ,-3    ,-1.4,-1,-4.20    ,-4    
2,7,2,890,-5.2,-5    ,-4.00    ,-4    ,-1.8,-2,-4.10    ,-4    
2,7,3,891,-4.9,-5    ,-2.00    ,-2    ,-1.7,-2,-4.20    ,-4    
2,7,4,892,-4.7,-5    ,-1.00    ,-1    ,-1.6,-2,-4.00    ,-4    
2,7,5,893,-4.6,-5    ,-0.70    ,-1    ,-2,-2,-3.80    ,-4    
2,7,6,894,-4.4,-4    ,-0.80    ,-1    ,-2.1,-2,-3.90    ,-4    
2,7,7,895,-4.3,-4    ,-0.50    ,-1    ,-2.2,-2,-4.00    ,-4    
2,7,8,896,-4.3,-4    ,-0.20    , -      ,-2.1,-2,-4.00    ,-4    
2,7,9,897,-3.9,-4    , 0.30    , -      ,-2.2,-2,-4.00    ,-4    
2,7,10,898,-3.6,-4    , 1.20    , 1    ,-2.5,-3,-4.00    ,-4    
2,7,11,899,-3,-3    , 2.50    , 3    ,-3,-3,-3.90    ,-4    
2,7,12,900,-2.5,-3    , 3.10    , 3    ,-2.7,-3,-3.80    ,-4    
2,7,13,901,-2.4,-2    , 3.00    , 3    ,-2.6,-3,-3.80    ,-4    
2,7,14,902,-2,-2    , 3.00    , 3    ,-2.3,-2,-3.50    ,-4    
2,7,15,903,-2,-2    , 3.00    , 3    ,-2.4,-2,-3.40    ,-3    
2,7,16,904,-2,-2    , 2.60    , 3    ,-2.6,-3,-3.70    ,-4    
2,7,17,905,-2.3,-2    , 1.80    , 2    ,-2.8,-3,-4.10    ,-4    
2,7,18,906,-2.4,-2    , 0.90    , 1    ,-2.8,-3,-4.60    ,-5    
2,7,19,907,-2.5,-3    , 0.90    , 1    ,-2.6,-3,-4.80    ,-5    
2,7,20,908,-2.5,-3    , 0.80    , 1    ,-2.4,-2,-5.10    ,-5    
2,7,21,909,-2.6,-3    ,-0.20    , -      ,-2.5,-3,-5.10    ,-5    
2,7,22,910,-2.7,-3    ,-0.50    ,-1    ,-2.2,-2,-5.30    ,-5    
2,7,23,911,-3.5,-4    ,-0.90    ,-1    ,-2,-2,-5.70    ,-6    
2,7,24,912,-2.9,-3    ,-1.50    ,-2    ,-1.7,-2,-5.60    ,-6    
2,8,1,913,-4,-4    ,-1.80    ,-2    ,-1.7,-2,-5.70    ,-6    
2,8,2,914,-5.2,-5    ,-1.90    ,-2    ,-2,-2,-5.60    ,-6    
2,8,3,915,-6.4,-6    ,-2.10    ,-2    ,-2,-2,-5.70    ,-6    
2,8,4,916,-7.1,-7    ,-2.40    ,-2    ,-1.6,-2,-5.70    ,-6    
2,8,5,917,-7.8,-8    ,-2.30    ,-2    ,-1.2,-1,-5.80    ,-6    
2,8,6,918,-8.3,-8    ,-2.90    ,-3    ,-1,-1,-5.90    ,-6    
2,8,7,919,-8.7,-9    ,-2.80    ,-3    ,-1,-1,-5.90    ,-6    
2,8,8,920,-8.8,-9    ,-3.30    ,-3    ,-1.2,-1,-5.90    ,-6    
2,8,9,921,-8.7,-9    ,-3.40    ,-3    ,-1.4,-1,-6.00    ,-6    
2,8,10,922,-8.4,-8    ,-2.70    ,-3    ,-1.2,-1,-5.90    ,-6    
2,8,11,923,-8.1,-8    ,-1.90    ,-2    ,-1.4,-1,-5.30    ,-5    
2,8,12,924,-7.8,-8    ,-1.50    ,-2    ,-1.6,-2,-4.50    ,-5    
2,8,13,925,-7.6,-8    ,-0.90    ,-1    ,-1.9,-2,-4.60    ,-5    
2,8,14,926,-7.6,-8    ,-0.50    ,-1    ,-2.4,-2,-4.60    ,-5    
2,8,15,927,-7.8,-8    ,-0.90    ,-1    ,-2.7,-3,-4.60    ,-5    
2,8,16,928,-8.1,-8    ,-1.00    ,-1    ,-3.2,-3,-4.30    ,-4    
2,8,17,929,-8.5,-9    , -      , -      ,-3.8,-4,-4.40    ,-4    
2,8,18,930,-9,-9    , 0.30    , -      ,-3.8,-4,-4.30    ,-4    
2,8,19,931,-9.5,-10    , 1.10    , 1    ,-3.7,-4,-4.30    ,-4    
2,8,20,932,-10.1,-10    , 1.30    , 1    ,-3.8,-4,-4.00    ,-4    
2,8,21,933,-10.6,-11    , 1.30    , 1    ,-3.9,-4,-5.10    ,-5    
2,8,22,934,-11.1,-11    , 1.50    , 2    ,-4,-4,-5.40    ,-5    
2,8,23,935,-11.7,-12    , 2.00    , 2    ,-3.8,-4,-5.40    ,-5    
2,8,24,936,-12.2,-12    , 2.30    , 2    ,-4,-4,-4.80    ,-5    
2,9,1,937,-12.3,-12    , 2.20    , 2    ,-4,-4,-4.90    ,-5    
2,9,2,938,-12.4,-12    , 2.30    , 2    ,-4.1,-4,-5.10    ,-5    
2,9,3,939,-12.5,-13    , 2.00    , 2    ,-4.2,-4,-5.10    ,-5    
2,9,4,940,-12.5,-13    , 2.00    , 2    ,-4.3,-4,-5.10    ,-5    
2,9,5,941,-12.5,-13    , 1.90    , 2    ,-4.6,-5,-4.90    ,-5    
2,9,6,942,-12.6,-13    , 2.50    , 3    ,-4.9,-5,-5.50    ,-6    
2,9,7,943,-12.6,-13    , 0.90    , 1    ,-5.1,-5,-5.70    ,-6    
2,9,8,944,-12.6,-13    , 1.60    , 2    ,-5.4,-5,-5.10    ,-5    
2,9,9,945,-11.7,-12    , 1.70    , 2    ,-5.7,-6,-5.30    ,-5    
2,9,10,946,-10.3,-10    , 3.70    , 4    ,-5.9,-6,-5.50    ,-6    
2,9,11,947,-8.9,-9    , 3.80    , 4    ,-5.9,-6,-5.20    ,-5    
2,9,12,948,-7.7,-8    , 4.10    , 4    ,-5.8,-6,-4.90    ,-5    
2,9,13,949,-6.9,-7    , 4.40    , 4    ,-5.7,-6,-4.80    ,-5    
2,9,14,950,-6.5,-7    , 6.00    , 6    ,-5.4,-5,-4.60    ,-5    
2,9,15,951,-6.5,-7    , 5.80    , 6    ,-5.2,-5,-4.80    ,-5    
2,9,16,952,-7.1,-7    , 5.20    , 5    ,-5.3,-5,-4.80    ,-5    
2,9,17,953,-8,-8    , 4.30    , 4    ,-5.3,-5,-4.90    ,-5    
2,9,18,954,-8.1,-8    , 4.40    , 4    ,-5.2,-5,-4.90    ,-5    
2,9,19,955,-8.2,-8    , 5.40    , 5    ,-5.1,-5,-5.00    ,-5    
2,9,20,956,-8.3,-8    , 5.30    , 5    ,-5,-5,-5.40    ,-5    
2,9,21,957,-8.4,-8    , 6.20    , 6    ,-5,-5,-5.60    ,-6    
2,9,22,958,-8.5,-9    , 6.00    , 6    ,-4.9,-5,-5.40    ,-5    
2,9,23,959,-8.6,-9    , 5.70    , 6    ,-5.1,-5,-5.10    ,-5    
2,9,24,960,-8.7,-9    , 5.40    , 5    ,-5.2,-5,-5.00    ,-5    
2,10,1,961,-8.9,-9    , 5.10    , 5    ,-5.2,-5,-4.80    ,-5    
2,10,2,962,-9,-9    , 4.60    , 5    ,-5.4,-5,-4.60    ,-5    
2,10,3,963,-9.1,-9    , 2.60    , 3    ,-5.4,-5,-4.80    ,-5    
2,10,4,964,-9.1,-9    , 3.70    , 4    ,-5.4,-5,-5.30    ,-5    
2,10,5,965,-9.1,-9    , 2.00    , 2    ,-5.3,-5,-5.30    ,-5    
2,10,6,966,-9.2,-9    , 0.80    , 1    ,-5.3,-5,-5.10    ,-5    
2,10,7,967,-9.2,-9    , 0.80    , 1    ,-5.3,-5,-5.20    ,-5    
2,10,8,968,-9.1,-9    , 0.70    , 1    ,-5.4,-5,-5.20    ,-5    
2,10,9,969,-8.2,-8    , 2.30    , 2    ,-5.4,-5,-5.20    ,-5    
2,10,10,970,-6.8,-7    , 3.10    , 3    ,-5.4,-5,-4.90    ,-5    
2,10,11,971,-5.2,-5    , 3.40    , 3    ,-5.4,-5,-4.60    ,-5    
2,10,12,972,-3.9,-4    , 3.50    , 4    ,-5.5,-6,-4.30    ,-4    
2,10,13,973,-2.9,-3    , 5.40    , 5    ,-5.3,-5,-4.00    ,-4    
2,10,14,974,-2.4,-2    , 5.20    , 5    ,-4.9,-5,-4.20    ,-4    
2,10,15,975,-2.4,-2    , 5.50    , 6    ,-4.9,-5,-4.40    ,-4    
2,10,16,976,-3,-3    , 5.30    , 5    ,-5.3,-5,-4.00    ,-4    
2,10,17,977,-4,-4    , 4.00    , 4    ,-5.3,-5,-4.50    ,-5    
2,10,18,978,-4.3,-4    , 3.20    , 3    ,-5.4,-5,-4.60    ,-5    
2,10,19,979,-4.7,-5    , 3.30    , 3    ,-5.7,-6,-4.90    ,-5    
2,10,20,980,-5,-5    , 2.60    , 3    ,-5.9,-6,-7.70    ,-8    
2,10,21,981,-5.3,-5    , 1.60    , 2    ,-6,-6,-9.40    ,-9    
2,10,22,982,-5.6,-6    , 0.80    , 1    ,-5.9,-6,-7.20    ,-7    
2,10,23,983,-6,-6    , 0.10    , -      ,-6,-6,-8.40    ,-8    
2,10,24,984,-6.3,-6    , 0.20    , -      ,-6.2,-6,-8.10    ,-8    
2,11,1,985,-6.7,-7    , 4.30    , 4    ,-6.2,-6,-8.40    ,-8    
2,11,2,986,-7.2,-7    , 3.70    , 4    ,-6.3,-6,-8.00    ,-8    
2,11,3,987,-7.6,-8    , 1.80    , 2    ,-7.3,-7,-9.70    ,-10    
2,11,4,988,-7.9,-8    , 2.60    , 3    ,-9.3,-9,-10.30    ,-10    
2,11,5,989,-8.1,-8    , 2.80    , 3    ,-7.3,-7,-13.50    ,-14    
2,11,6,990,-8.3,-8    , 2.90    , 3    ,-8.6,-9,-14.80    ,-15    
2,11,7,991,-8.4,-8    , 2.00    , 2    ,-8.2,-8,-14.70    ,-15    
2,11,8,992,-8.4,-8    ,-0.20    , -      ,-11,-11,-16.80    ,-17    
2,11,9,993,-7.3,-7    ,-0.80    ,-1    ,-8.2,-8,-16.20    ,-16    
2,11,10,994,-5.6,-6    , 0.10    , -      ,-9.1,-9,-13.10    ,-13    
2,11,11,995,-3.9,-4    , 2.60    , 3    ,-6.6,-7,-11.80    ,-12    
2,11,12,996,-2.3,-2    , 4.80    , 5    ,-5.4,-5,-6.90    ,-7    
2,11,13,997,-1.3,-1    , 4.50    , 5    ,-4.9,-5,-7.20    ,-7    
2,11,14,998,-0.9,-1    , 4.20    , 4    ,-4.8,-5,-5.70    ,-6    
2,11,15,999,-1,-1    , 2.50    , 3    ,-5.2,-5,-6.00    ,-6    
2,11,16,1000,-1.8,-2    , 3.00    , 3    ,-5.9,-6,-8.30    ,-8    
2,11,17,1001,-3,-3    , 2.50    , 3    ,-7.2,-7,-9.20    ,-9    
2,11,18,1002,-3.3,-3    , 2.60    , 3    ,-9.5,-10,-9.90    ,-10    
2,11,19,1003,-3.7,-4    , 2.20    , 2    ,-12.5,-13,-15.10    ,-15    
2,11,20,1004,-4,-4    , 1.80    , 2    ,-13.4,-13,-12.40    ,-12    
2,11,21,1005,-4.4,-4    , 1.70    , 2    ,-13.5,-14,-15.40    ,-15    
2,11,22,1006,-4.7,-5    , 1.60    , 2    ,-11.1,-11,-13.90    ,-14    
2,11,23,1007,-5.1,-5    , 1.50    , 2    ,-9.1,-9,-11.70    ,-12    
2,11,24,1008,-5.4,-5    , 1.50    , 2    ,-8.2,-8,-10.50    ,-11    
2,12,1,1009,-5.7,-6    , 1.50    , 2    ,-7.2,-7,-8.40    ,-8    
2,12,2,1010,-6,-6    , 1.60    , 2    ,-6.8,-7,-7.40    ,-7    
2,12,3,1011,-6.4,-6    , 1.70    , 2    ,-5.8,-6,-7.70    ,-8    
2,12,4,1012,-6.5,-7    , 1.70    , 2    ,-5.5,-6,-7.50    ,-8    
2,12,5,1013,-6.7,-7    , 1.70    , 2    ,-5.1,-5,-7.90    ,-8    
2,12,6,1014,-6.9,-7    , 1.70    , 2    ,-5,-5,-7.90    ,-8    
2,12,7,1015,-7,-7    , 2.00    , 2    ,-4.7,-5,-7.80    ,-8    
2,12,8,1016,-7,-7    , 2.10    , 2    ,-4.5,-5,-6.90    ,-7    
2,12,9,1017,-6.5,-7    , 2.00    , 2    ,-4.2,-4,-5.50    ,-6    
2,12,10,1018,-5.8,-6    , 2.60    , 3    ,-3.9,-4,-4.80    ,-5    
2,12,11,1019,-5.5,-6    , 2.60    , 3    ,-3.5,-4,-4.60    ,-5    
2,12,12,1020,-5.1,-5    , 2.80    , 3    ,-3.2,-3,-4.10    ,-4    
2,12,13,1021,-4.8,-5    , 2.60    , 3    ,-2.9,-3,-3.60    ,-4    
2,12,14,1022,-4.6,-5    , 2.70    , 3    ,-2.5,-3,-3.70    ,-4    
2,12,15,1023,-4.5,-5    , 2.60    , 3    ,-2.4,-2,-4.00    ,-4    
2,12,16,1024,-4.7,-5    , 2.50    , 3    ,-2.4,-2,-4.20    ,-4    
2,12,17,1025,-5.2,-5    , 2.40    , 2    ,-2.5,-3,-4.30    ,-4    
2,12,18,1026,-5.3,-5    , 2.20    , 2    ,-2.5,-3,-4.20    ,-4    
2,12,19,1027,-5.1,-5    , 2.30    , 2    ,-2.6,-3,-4.20    ,-4    
2,12,20,1028,-5,-5    , 2.10    , 2    ,-2.7,-3,-4.50    ,-5    
2,12,21,1029,-5,-5    , 2.00    , 2    ,-2.8,-3,-5.10    ,-5    
2,12,22,1030,-5,-5    , 2.00    , 2    ,-3,-3,-5.50    ,-6    
2,12,23,1031,-4.9,-5    , 1.60    , 2    ,-3.5,-4,-5.60    ,-6    
2,12,24,1032,-4.9,-5    , 1.80    , 2    ,-3.5,-4,-5.70    ,-6    
2,13,1,1033,-4.8,-5    , 1.50    , 2    ,-3.5,-4,-5.90    ,-6    
2,13,2,1034,-4.5,-5    , 1.50    , 2    ,-3.2,-3,-5.90    ,-6    
2,13,3,1035,-4.3,-4    , 1.00    , 1    ,-3.6,-4,-6.00    ,-6    
2,13,4,1036,-4.2,-4    , 0.70    , 1    ,-3.5,-4,-6.20    ,-6    
2,13,5,1037,-4,-4    , 0.60    , 1    ,-3.4,-3,-6.40    ,-6    
2,13,6,1038,-3.9,-4    , 0.50    , 1    ,-3.4,-3,-6.60    ,-7    
2,13,7,1039,-3.8,-4    , 0.70    , 1    ,-3.5,-4,-6.60    ,-7    
2,13,8,1040,-3.7,-4    , 0.70    , 1    ,-3.7,-4,-6.70    ,-7    
2,13,9,1041,-2.3,-2    , 0.70    , 1    ,-4.2,-4,-6.70    ,-7    
2,13,10,1042,-0.3, -      , 0.80    , 1    ,-4,-4,-6.50    ,-7    
2,13,11,1043,0.9, 1    , 1.00    , 1    ,-4.5,-5,-6.00    ,-6    
2,13,12,1044,1.4, 1    , 0.40    , -      ,-3.3,-3,-5.70    ,-6    
2,13,13,1045,1.3, 1    , 0.30    , -      ,-3.5,-4,-5.50    ,-6    
2,13,14,1046,1.1, 1    , 0.80    , 1    ,-3.1,-3,-5.40    ,-5    
2,13,15,1047,0.9, 1    , 0.30    , -      ,-3.3,-3,-5.40    ,-5    
2,13,16,1048,0.8, 1    , 0.20    , -      ,-3.1,-3,-5.40    ,-5    
2,13,17,1049,0.2, -      ,-0.10    , -      ,-3.2,-3,-5.60    ,-6    
2,13,18,1050,-0.2, -      ,-0.20    , -      ,-3.4,-3,-5.90    ,-6    
2,13,19,1051,-0.5,-1    ,-0.30    , -      ,-3.7,-4,-5.90    ,-6    
2,13,20,1052,-0.9,-1    ,-0.30    , -      ,-3.6,-4,-6.00    ,-6    
2,13,21,1053,-1.3,-1    ,-0.30    , -      ,-3.7,-4,-5.90    ,-6    
2,13,22,1054,-1.6,-2    ,-0.40    , -      ,-3.5,-4,-5.80    ,-6    
2,13,23,1055,-2,-2    ,-0.40    , -      ,-3.4,-3,-6.10    ,-6    
2,13,24,1056,-2.4,-2    ,-0.70    ,-1    ,-3.4,-3,-6.10    ,-6    
2,14,1,1057,-4.6,-5    ,-0.70    ,-1    ,-3.3,-3,-6.40    ,-6    
2,14,2,1058,-7.1,-7    ,-0.70    ,-1    ,-3.2,-3,-6.60    ,-7    
2,14,3,1059,-9.6,-10    ,-1.00    ,-1    ,-3.2,-3,-6.70    ,-7    
2,14,4,1060,-11,-11    ,-1.40    ,-1    ,-3.2,-3,-7.20    ,-7    
2,14,5,1061,-12.3,-12    ,-1.90    ,-2    ,-3.1,-3,-7.60    ,-8    
2,14,6,1062,-13.3,-13    ,-3.50    ,-4    ,-3.1,-3,-8.30    ,-8    
2,14,7,1063,-14.3,-14    ,-3.40    ,-3    ,-3,-3,-8.90    ,-9    
2,14,8,1064,-14.6,-15    ,-4.10    ,-4    ,-2.9,-3,-9.40    ,-9    
2,14,9,1065,-14.8,-15    ,-3.50    ,-4    ,-2.8,-3,-9.90    ,-10    
2,14,10,1066,-14.5,-15    ,-1.80    ,-2    ,-2.6,-3,-9.10    ,-9    
2,14,11,1067,-14.3,-14    ,-0.50    ,-1    ,-1.7,-2,-8.60    ,-9    
2,14,12,1068,-14.3,-14    ,-0.70    ,-1    ,-1.7,-2,-7.50    ,-8    
2,14,13,1069,-14,-14    ,-0.70    ,-1    ,-1.7,-2,-5.40    ,-5    
2,14,14,1070,-14.1,-14    ,-0.80    ,-1    ,-1.5,-2,-6.60    ,-7    
2,14,15,1071,-14.2,-14    ,-0.60    ,-1    ,-1.3,-1,-5.30    ,-5    
2,14,16,1072,-14.6,-15    ,-0.80    ,-1    ,-1.2,-1,-6.20    ,-6    
2,14,17,1073,-15.2,-15    ,-2.10    ,-2    ,-1.4,-1,-7.90    ,-8    
2,14,18,1074,-15.8,-16    ,-3.80    ,-4    ,-1.4,-1,-11.00    ,-11    
2,14,19,1075,-16.4,-16    ,-3.00    ,-3    ,-1.3,-1,-11.20    ,-11    
2,14,20,1076,-17,-17    ,-3.90    ,-4    ,-0.9,-1,-11.40    ,-11    
2,14,21,1077,-17.5,-18    ,-2.60    ,-3    ,-0.7,-1,-10.00    ,-10    
2,14,22,1078,-18.1,-18    ,-0.90    ,-1    ,-0.7,-1,-8.70    ,-9    
2,14,23,1079,-18.7,-19    , 0.30    , -      ,-0.6,-1,-7.80    ,-8    
2,14,24,1080,-18.3,-18    ,-0.20    , -      ,-0.5,-1,-7.30    ,-7    
2,15,1,1081,-17.9,-18    , -      , -      ,-0.4,0,-6.80    ,-7    
2,15,2,1082,-17.6,-18    , 0.10    , -      ,-0.5,-1,-6.90    ,-7    
2,15,3,1083,-17.2,-17    , 0.30    , -      ,-0.4,0,-6.20    ,-6    
2,15,4,1084,-17,-17    , 0.60    , 1    ,-0.4,0,-6.40    ,-6    
2,15,5,1085,-16.8,-17    , 0.60    , 1    ,-0.2,0,-6.70    ,-7    
2,15,6,1086,-16.6,-17    , 0.50    , 1    ,-0.1,0,-6.80    ,-7    
2,15,7,1087,-16.5,-17    , 0.40    , -      ,0.1,0,-6.80    ,-7    
2,15,8,1088,-16.5,-17    , 0.20    , -      ,0.1,0,-6.80    ,-7    
2,15,9,1089,-14.9,-15    , 0.50    , 1    ,0.3,0,-6.80    ,-7    
2,15,10,1090,-13.1,-13    , 0.60    , 1    ,0.5,1,-6.60    ,-7    
2,15,11,1091,-11.4,-11    , 0.80    , 1    ,0.8,1,-6.10    ,-6    
2,15,12,1092,-9.8,-10    , 1.00    , 1    ,1,1,-5.60    ,-6    
2,15,13,1093,-8.8,-9    , 1.30    , 1    ,0.9,1,-5.00    ,-5    
2,15,14,1094,-8.2,-8    , 0.90    , 1    ,0.9,1,-4.40    ,-4    
2,15,15,1095,-8.3,-8    , 0.70    , 1    ,0.8,1,-4.80    ,-5    
